0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
REF 1,REF 2,Date,Section,Line,,,DL,DLI,IDL,Output,WT,RFT,Article,,,,,,,,,,,,,,,ARTICLE,Allowance,KPI,,,,,Cycle Time,,,,,,,,,,,,,,,TCT,Quota,,,,,,,,,,,,,,,"Total
Quota",MP,,,,,,,,,,,,,,,"Total
MP",REF TIME,FQ
,,,,,,              ,,,,,,,"07:00
08:00","08:00
09:00","09:00
10:00","10:00
11:00","11:00
12:00","12:00
13:00","13:00
14:00","14:00
15:00","15:00
16:00","16:00
17:00","17:00
18:00","18:00
19:00","19:00
20:00","20:00
21:00","21:00
22:00",,,"EFF
KPI","EFF
Salary",PPH,PT,MH,"07:00
08:00","08:00
09:00","09:00
10:00","10:00
11:00","11:00
12:00","12:00
13:00","13:00
14:00","14:00
15:00","15:00
16:00","16:00
17:00","17:00
18:00","18:00
19:00","19:00
20:00","20:00
21:00","21:00
22:00",,"07:00
08:00","08:00
09:00","09:00
10:00","10:00
11:00","11:00
12:00","12:00
13:00","13:00
14:00","14:00
15:00","15:00
16:00","16:00
17:00","17:00
18:00","18:00
19:00","19:00
20:00","20:00
21:00","21:00
22:00",,"07:00
08:00","08:00
09:00","09:00
10:00","10:00
11:00","11:00
12:00","12:00
13:00","13:00
14:00","14:00
15:00","15:00
16:00","16:00
17:00","17:00
18:00","18:00
19:00","19:00
20:00","20:00
21:00","21:00
22:00",,,FQ
46054SEW1A,SEW1A,2026-02-01 00:00:00,SEW,1,A,,,,,0,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
46054SEW1B,SEW1B,2026-02-01 00:00:00,SEW,1,B,,,,,0,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
46054SEW2A,SEW2A,2026-02-01 00:00:00,SEW,2,A,,,,,0,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
46054SEW2B,SEW2B,2026-02-01 00:00:00,SEW,2,B,,,,,0,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
46054SEW3A,SEW3A,2026-02-01 00:00:00,SEW,3,A,,,,,0,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
46054SEW3B,SEW3B,2026-02-01 00:00:00,SEW,3,B,,,,,0,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
46054SEW4A,SEW4A,2026-02-01 00:00:00,SEW,4,A,,,,,0,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
46054SEW4B,SEW4B,2026-02-01 00:00:00,SEW,4,B,,,,,0,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
